geneid	mean_length	median_length	polya_reads_num	count
PH02Gene08373	63.84	65.03	25	38
PH02Gene34050	161.96	161.96	1	3
PH02Gene15936	64.54	63.65	189	263
PH02Gene24787	51.87	47.57	386	519
PH02Gene21762	90.26	90.26	2	4
PH02Gene46345	125.48	128.7	28	49
PH02Gene01936	69.87	68.38	475	649
PH02Gene11555	49.89	35.48	9	16
PH02Gene44908	96.85	94.5	131	178
PH02Gene14314	66.23	62.79	23	31
PH02Gene06195	76.96	71.09	198	267
PH02Gene10180	70.62	70.62	1	3
PH02Gene36585	86.87	89.76	91	126
PH02Gene18592	66.18	73.97	5	8
PH02Gene21063	50.56	50.56	1	1
PH02Gene36822	77.41	89.6	5	8
PH02Gene09040	115.71	115.71	1	2
PH02Gene18793	44.66	44.66	1	1
PH02Gene20163	100.43	82.15	35	55
PH02Gene23496	61.65	49.18	11	13
PH02Gene15140	112.46	96.25	3	7
PH02Gene37938	57.97	47.7	19	29
PH02Gene23649	74.84	44.56	5	9
PH02Gene26999	67.97	67.96	2	6
PH02Gene00961	199.39	178.93	5	5
PH02Gene23090	91.29	89.88	44	57
PH02Gene34986	59.75	55.32	14	21
PH02Gene05614	94.68	99.58	11	18
PH02Gene00180	95.02	92.65	69	99
PH02Gene39901	110.74	99.69	12	18
PH02Gene23688	93.14	81.98	34	45
PH02Gene17922	63.18	71.71	17	26
PH02Gene46057	71.72	60.29	10	13
PH02Gene30694	71.19	71.18	2	2
PH02Gene24181	120.69	120.21	5	10
PH02Gene13708	115.62	117.24	9	11
PH02Gene14467	98.77	93.38	3	5
PH02Gene11898	44.33	44.08	4	5
PH02Gene07103	65.0	65.81	80	100
PH02Gene37978	208.68	225.83	3	7
PH02Gene48868	56.97	68.75	11	15
PH02Gene10721	143.91	136.5	4	5
PH02Gene20373	80.34	83.68	12	24
PH02Gene28063	76.07	73.9	20	28
PH02Gene21994	88.59	80.01	4	10
PH02Gene10719	92.11	92.1	2	2
PH02Gene12883	200.19	200.19	1	1
PH02Gene06372	112.17	113.83	10	15
PH02Gene28482	63.21	77.2	3	5
PH02Gene46725	147.9	154.29	3	5
PH02Gene06322	75.61	47.16	44	60
PH02Gene33906	26.72	26.72	1	1
PH02Gene42166	72.83	66.54	14	22
PH02Gene32785	200.12	200.12	1	1
PH02Gene47500	99.13	93.26	18	26
PH02Gene34081	115.17	91.21	8	10
PH02Gene25244	58.3	54.18	32	47
