gene_id	phe_2B	phe_2M	phe_4B	phe_4M
PH02Gene00001	0.0	0.0	0.0	0.0
PH02Gene00002	0.0	0.0	0.0	0.0
PH02Gene00003	27.014083992071026	29.469538895488316	18.22497967126014	14.259494059411546
PH02Gene00004	13.727788004781667	12.596282448676268	7.775682155581047	0.0
PH02Gene00005	5.304015287517279	6.064650352084914	6.331269559781641	17.0843877608228
PH02Gene00006	13.526846260528918	10.797282954111909	7.048046016610253	5.841288313644285
PH02Gene00007	0.0	0.0	0.0	4.897391667440592
PH02Gene00008	0.0	0.0	0.0	3.4178193733116653
PH02Gene00009	0.0	0.0	0.0	0.0
PH02Gene00010	2.8477934429622973	3.9508415716490544	6.535796477999194	17.38684564340593
PH02Gene00011	0.0	0.0	0.0	0.0
PH02Gene00012	0.0	0.0	0.0	0.0
PH02Gene00013	1.3235222177210926	0.0	1.5040221137647214	0.0
PH02Gene00014	0.0	0.0	0.0	0.0
PH02Gene00015	0.0	0.0	2.223388727824773	1.4549352108535307
PH02Gene00016	23.581615006522814	24.038837075023693	19.469426002372412	12.757989053550299
PH02Gene00017	17.90224190400805	17.304759352926915	14.541333573409512	11.356689753311244
PH02Gene00018	61.4225865636449	95.30085463945072	174.36832614080063	144.78874424061698
PH02Gene00019	79.54623454946757	85.02671797054988	72.18248685233264	68.99868830052621
PH02Gene00020	0.0	0.0	0.0	0.0
PH02Gene00021	0.0	0.0	0.0	0.0
PH02Gene00022	15.37504964338934	14.33972033516064	10.32795375435783	7.133011928295642
PH02Gene00023	0.0	0.0	0.0	0.0
PH02Gene00024	9.453292898225945	11.328889997803294	9.358709115778748	8.59376359968693
PH02Gene00025	5.592038982076013	3.9442375106604977	3.873152645272578	3.0381889952558807
PH02Gene00026	95.8313907025754	80.66515538672701	77.57238115026183	70.42378962310345
PH02Gene00027	0.0	0.0	0.0	0.0
PH02Gene00028	24.349480332269536	33.01033278062132	25.484879830210208	13.717891441003433
PH02Gene00029	0.0	0.0	0.0	0.0
PH02Gene00030	0.0	0.0	0.0	0.0
PH02Gene00031	3.2380186227709995	5.505269861746624	8.09326986062598	8.934989101484657
PH02Gene00032	17.3015108245211	19.55353262133172	11.208101376862812	4.462756388684004
PH02Gene00033	15.40128883486499	12.506656726077336	25.632731041438905	14.69866667158856
PH02Gene00034	45.05438898487596	43.57402801288021	53.4999075871942	29.31015442233122
PH02Gene00035	965.1394551233847	796.3043909190452	669.7107824268453	383.93060419383374
PH02Gene00036	0.0	0.0	0.0	0.0
PH02Gene00037	8.212303435024085	6.89032351801212	7.988284155726627	7.661978493908784
PH02Gene00038	1.789949184397816	1.298829961020863	1.553156416709636	1.1306470121645755
PH02Gene00039	22.49171039643403	19.222638584329907	20.599867438560416	13.30654611657147
PH02Gene00040	2.2387077512248257	2.1265657078739317	3.9138757278650136	3.0679035260736796
PH02Gene00041	0.0	0.0	0.0	0.0
PH02Gene00042	0.0	0.0	0.0	0.0
PH02Gene00043	1.7878703216350378	1.2538153536894656	3.8243713655489997	3.583242376801786
PH02Gene00044	0.0	0.0	3.253315063513964	1.9066877054570064
PH02Gene00045	0.0	0.0	0.0	0.0
PH02Gene00046	8.260876890511067	9.404970270011436	13.363620878455185	17.364259832968084
PH02Gene00047	32.45352848758531	32.38001668658076	26.673359486696825	30.734147300127336
PH02Gene00048	15.752526605784402	13.345270699575329	13.017978814147511	8.843770142596165
PH02Gene00049	2.6451528269814006	2.87695136057548	2.436629087687287	1.5624057869216645
PH02Gene00050	0.0	0.0	0.0	9.436196100485684
PH02Gene00051	1.2816790867943484	1.5631801149151616	4.055276322141248	13.842632764545494
PH02Gene00052	1.7313797548706749	1.6446509429382818	2.225681703375843	4.374603176068024
PH02Gene00053	2.052499037328068	2.523394057919063	2.718843936988327	3.1554451062310136
PH02Gene00054	0.0	0.0	0.0	20.313061231291687
PH02Gene00055	67.91122377475395	85.5474666487243	133.2051778783217	99.21048067407541
PH02Gene00056	4.516399310243166	4.987749822275444	7.179383550655817	7.175166891588208
PH02Gene00057	108.38711575423628	140.7134530899404	204.7783151508473	197.756117760268
PH02Gene00058	0.0	0.0	0.0	0.0
PH02Gene00059	41.13554235353524	42.957756149799	53.08593337400615	47.26290081092045
PH02Gene00060	45.36271139200054	56.86424846255964	52.317547899125294	9.134562215040305
PH02Gene00061	0.0	0.0	0.0	0.0
PH02Gene00062	1.2780759728957298	1.393914075363354	2.0591784345190334	19.357314980664302
PH02Gene00063	0.0	0.0	0.0	20.56571288131757
PH02Gene00064	1.0912007939050976	3.778709403797214	35.11644941431274	376.5164061300664
PH02Gene00065	10.511673567333997	21.994999460245207	16.395426374463437	23.408281239406108
PH02Gene00066	1.538549070647673	2.0867614114700785	1.6490748620826594	4.016889938114974
PH02Gene00067	10.240029514362169	9.659533592461042	9.575490499854649	9.651606528194796
PH02Gene00068	3.6892060355263125	7.092405716791318	48.318428083940375	10.895894913336535
PH02Gene00069	0.0	0.0	0.0	0.0
PH02Gene00070	0.0	0.0	0.0	0.0
PH02Gene00071	1.8902553029308138	0.0	1.043807214659332	1.2353615012022428
PH02Gene00072	8.986024834472534	12.613955766936337	15.564736418037507	18.72083111974768
PH02Gene00073	24.899651065940883	28.0087624941698	27.701154027171487	19.48195564687656
PH02Gene00074	21.300343083131864	20.25492468619765	11.3446107070468	1.5995975860487086
PH02Gene00075	33.47501878806028	35.37591885987854	20.88486490406191	7.906287356221434
PH02Gene00076	11.324902480841521	11.966641136483096	15.401483289890065	17.14411931004939
