geneid	mean_length	median_length	polya_reads_num	count
PH02Gene02831	42.87	42.87	1	2
PH02Gene48619	119.02	90.55	39	42
PH02Gene05785	144.47	144.48	2	6
PH02Gene10805	57.06	54.97	3	5
PH02Gene38529	52.89	55.28	5	8
PH02Gene47492	66.25	58.57	29	35
PH02Gene07385	79.36	72.06	16	22
PH02Gene23016	51.13	46.6	25	30
PH02Gene23997	63.11	54.0	3	4
PH02Gene24228	68.6	63.95	6	8
PH02Gene07814	69.02	63.88	635	830
PH02Gene10308	28.04	28.04	1	1
PH02Gene33462	110.21	97.1	12	17
PH02Gene16511	189.06	210.29	5	5
PH02Gene37884	68.6	67.54	13	23
PH02Gene11768	86.52	92.71	5	7
PH02Gene02938	55.2	55.13	17	26
PH02Gene25108	92.84	79.36	6	10
PH02Gene04479	24.64	24.64	1	1
PH02Gene48481	139.17	139.17	1	2
PH02Gene13629	109.03	123.84	15	19
PH02Gene04875	77.29	70.59	87	114
PH02Gene40632	66.36	65.63	41	51
PH02Gene04664	94.63	84.21	58	72
PH02Gene27344	52.49	52.5	2	4
PH02Gene14659	144.38	139.74	16	22
PH02Gene30448	98.0	84.15	3	4
PH02Gene26949	74.16	57.1	16	24
PH02Gene18976	71.84	71.52	13	17
PH02Gene18395	113.7	86.45	3	3
PH02Gene04732	59.95	33.18	4	10
PH02Gene12330	86.0	90.54	13	17
PH02Gene47521	61.73	59.08	4	6
PH02Gene32907	49.59	49.59	1	2
PH02Gene03774	18.28	18.28	1	1
PH02Gene02703	127.57	127.57	1	1
PH02Gene08868	115.94	114.32	41	59
PH02Gene12096	63.59	66.81	37	53
PH02Gene32354	62.0	57.78	17	21
PH02Gene15618	123.54	115.44	10	12
PH02Gene05123	82.56	78.63	82	106
PH02Gene49281	98.25	98.25	1	1
PH02Gene11506	70.22	90.07	7	10
PH02Gene29817	76.43	63.5	786	1039
PH02Gene23387	242.14	242.14	1	2
PH02Gene36184	170.81	170.82	2	4
PH02Gene20459	302.56	302.56	2	2
PH02Gene00713	85.85	67.87	13	14
PH02Gene31798	41.81	41.81	1	1
PH02Gene27078	74.9	75.79	13	20
PH02Gene18927	110.77	91.46	128	173
PH02Gene13953	97.04	103.84	15	18
PH02Gene17331	298.97	298.97	2	3
PH02Gene23821	128.64	145.58	24	35
PH02Gene31573	44.22	40.25	15	24
PH02Gene23957	102.94	98.53	5	5
PH02Gene32637	96.48	94.65	24	30
PH02Gene45771	68.58	65.82	58	70
PH02Gene06162	41.11	41.19	3	4
PH02Gene15178	140.36	171.11	7	8
PH02Gene26042	98.81	100.57	39	55
PH02Gene13362	76.16	80.84	15	22
PH02Gene45888	106.23	96.8	12	18
PH02Gene09576	77.17	72.38	43	53
PH02Gene48117	163.19	156.24	6	8
PH02Gene23399	122.68	122.36	3	4
PH02Gene19330	107.79	56.89	5	6
PH02Gene42808	112.38	110.52	5	8
PH02Gene33607	85.38	76.62	8	11
PH02Gene05737	61.42	48.55	14	17
PH02Gene34085	92.03	87.0	5	6
PH02Gene16064	156.34	159.47	7	10
PH02Gene02498	40.17	40.17	1	1
PH02Gene35025	66.74	55.42	201	257
PH02Gene40023	61.44	45.42	52	77
PH02Gene04935	81.59	59.83	23	27
PH02Gene45411	51.36	51.25	20	27
PH02Gene29410	79.4	84.37	9	12
PH02Gene27743	124.79	124.22	6	6
PH02Gene10902	120.22	136.64	9	14
PH02Gene47563	47.79	47.79	1	1
PH02Gene34053	127.83	127.83	1	2
PH02Gene33288	109.02	126.04	9	12
PH02Gene27124	60.78	59.3	48	65
PH02Gene17654	201.54	201.54	2	4
PH02Gene42958	104.31	100.23	5	8
PH02Gene33013	164.34	151.16	8	11
PH02Gene38372	55.43	48.08	465	578
PH02Gene16750	152.64	164.52	5	12
PH02Gene48086	131.88	138.8	4	6
PH02Gene41911	124.36	131.29	4	7
PH02Gene13310	201.91	215.21	3	3
PH02Gene13367	84.25	87.45	151	197
PH02Gene26189	94.7	76.56	4	10
PH02Gene25957	62.32	40.14	15	18
PH02Gene05232	73.49	53.79	25	35
PH02Gene27014	64.95	64.95	1	2
PH02Gene50124	206.68	206.68	1	1
PH02Gene14076	75.51	71.43	4	5
PH02Gene25720	84.2	62.72	8	10
PH02Gene08913	82.35	94.86	10	12
PH02Gene12286	136.23	131.19	6	10
PH02Gene35734	18.72	18.72	1	2
PH02Gene45800	242.06	242.06	2	2
PH02Gene40881	56.84	54.35	135	178
PH02Gene06632	113.93	98.69	27	42
PH02Gene46948	171.8	171.8	1	1
PH02Gene10466	50.65	50.3	5	7
PH02Gene38452	87.51	72.88	62	84
PH02Gene02584	87.15	78.96	5	5
PH02Gene16457	97.14	108.38	5	7
PH02Gene03063	81.99	87.98	14	16
PH02Gene06082	59.56	50.35	5	5
PH02Gene03106	72.65	68.93	50	76
PH02Gene19927	86.0	68.32	15	20
PH02Gene19107	82.98	66.48	23	29
PH02Gene29705	68.5	67.1	44	61
PH02Gene34935	50.19	50.19	1	3
PH02Gene18165	35.6	35.6	1	1
PH02Gene50025	60.52	61.63	3	4
PH02Gene28323	78.63	64.42	7	7
PH02Gene07068	165.07	165.07	1	1
PH02Gene37903	91.2	78.64	52	68
PH02Gene02435	101.17	95.15	11	13
PH02Gene17993	91.64	79.97	27	35
PH02Gene36750	115.14	113.81	25	35
PH02Gene24776	65.83	63.09	6	9
PH02Gene23694	62.38	52.6	290	373
PH02Gene41769	63.36	52.54	9	15
PH02Gene33659	141.96	141.96	1	1
PH02Gene09529	84.56	77.26	131	155
PH02Gene34659	69.86	69.86	1	1
PH02Gene47315	101.12	97.96	11	17
PH02Gene23847	158.77	159.38	7	7
PH02Gene09392	136.07	136.07	1	1
PH02Gene30587	111.56	111.56	2	2
PH02Gene09994	288.89	288.89	1	1
PH02Gene18403	126.5	116.18	86	115
PH02Gene29367	23.75	23.75	2	2
PH02Gene09015	100.43	92.54	9	14
PH02Gene04903	96.72	96.72	2	3
PH02Gene38465	94.59	94.6	2	2
PH02Gene40041	84.55	64.17	25	29
PH02Gene31593	110.24	109.1	5	6
PH02Gene39994	56.98	50.41	5	6
PH02Gene00412	128.08	128.08	1	3
PH02Gene19093	117.65	117.65	1	2
PH02Gene36817	69.23	58.17	31	42
PH02Gene06284	239.96	242.46	3	4
PH02Gene27854	62.09	41.5	5	7
PH02Gene05367	55.99	35.08	3	4
PH02Gene34142	130.37	159.17	9	13
PH02Gene20360	125.65	125.65	1	1
PH02Gene41711	100.69	100.69	1	1
PH02Gene26750	75.48	73.13	24	33
PH02Gene09413	143.46	133.81	19	23
PH02Gene36436	85.81	83.44	61	89
PH02Gene09967	114.15	67.92	5	8
PH02Gene29596	58.75	58.75	1	1
PH02Gene42366	55.21	45.44	73	92
PH02Gene16032	60.77	39.81	5	6
PH02Gene47868	113.34	110.26	14	23
PH02Gene32361	72.19	74.51	32	37
PH02Gene08529	57.66	48.02	48	68
PH02Gene34303	51.54	46.71	64	87
PH02Gene19658	149.71	121.36	10	12
PH02Gene47050	48.47	41.88	48	56
PH02Gene01641	62.7	68.44	9	13
PH02Gene00962	64.85	60.4	18	34
PH02Gene51148	25.35	25.35	1	3
PH02Gene18333	31.27	31.26	2	2
PH02Gene40218	74.6	74.36	8	9
PH02Gene37340	102.24	112.24	12	18
PH02Gene32352	59.66	56.48	29	44
PH02Gene07294	95.89	75.51	34	48
PH02Gene15746	75.39	76.0	5	8
PH02Gene19483	73.71	64.7	11	23
PH02Gene01740	114.0	110.37	5	8
PH02Gene32417	85.39	78.04	29	40
PH02Gene08508	63.06	55.5	11	19
PH02Gene36707	70.36	66.12	125	161
PH02Gene13020	86.46	86.46	1	2
PH02Gene46346	42.93	54.42	3	3
PH02Gene38255	155.04	155.04	1	1
PH02Gene08895	48.71	28.98	12	15
PH02Gene12390	128.58	117.92	4	5
PH02Gene17877	65.48	61.42	26	36
PH02Gene04414	54.77	57.1	5	7
PH02Gene28272	85.85	61.19	7	9
PH02Gene40872	59.63	59.96	37	42
PH02Gene05911	105.21	92.36	32	44
PH02Gene04283	115.91	109.22	25	35
PH02Gene01126	155.05	118.24	9	11
PH02Gene00945	78.05	71.23	4	5
PH02Gene04542	52.47	46.04	7	10
PH02Gene16432	93.11	93.1	2	2
PH02Gene29854	158.68	163.96	3	6
PH02Gene12977	90.4	102.48	4	5
PH02Gene31240	55.88	54.32	20	26
PH02Gene01443	77.91	77.9	2	5
PH02Gene31576	71.89	69.74	4	4
PH02Gene23797	80.46	85.26	32	49
PH02Gene22140	148.86	101.08	3	4
PH02Gene08519	58.64	43.38	28	39
PH02Gene04842	100.21	88.36	28	42
PH02Gene17787	103.38	103.38	2	2
PH02Gene28260	82.7	79.95	6	10
PH02Gene25894	149.21	136.33	4	4
PH02Gene08949	61.81	60.04	78	101
PH02Gene03777	87.82	87.82	2	2
PH02Gene44481	171.0	164.78	4	5
PH02Gene41486	85.89	68.57	49	63
PH02Gene17171	87.25	77.88	33	46
PH02Gene41064	154.53	175.21	6	8
PH02Gene16544	49.36	28.23	9	11
